name	name_ru	card_title	card_title_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	platform	ignore
Corpus of the Russian dialect spoken in the Mikhaylov area	Корпус говоров окрестностей Михайлова	Mikhaylov Corpus 	Корпус Михайлова	https://lingconlab.ru/mikhaylov/	corpus	корпус	dialectal	диалектный	Pecherniki	Печерники	54.12917	39.26306	Russian	47579	spoco	
Corpus of the Russian dialect spoken in the Mikhaylov area	Корпус говоров окрестностей Михайлова	Mikhaylov Corpus 	Корпус Михайлова	https://lingconlab.ru/mikhaylov/	corpus	корпус	dialectal	диалектный	Novopanskoye	Новопанское	54.33944	39.06333	Russian	47579	spoco	
Corpus of the Russian dialect spoken in the Mikhaylov area	Корпус говоров окрестностей Михайлова	Mikhaylov Corpus 	Корпус Михайлова	https://lingconlab.ru/mikhaylov/	corpus	корпус	dialectal	диалектный	Khavertovo	Хавертово	54.282996	39.201418	Russian	47579	spoco	
Corpus of the Russian dialect spoken in the village Malinino	Корпус говора села Малинино	Malinino dialect	Говор с. Малинино	https://lingconlab.ru/malinino/	corpus	корпус	dialectal	диалектный	Malinino	Малинино	52.29714519	39.34909665	Russian	138943	spoco	
Corpus of the Russian dialect spoken in the village Veegora	Корпус говора деревни Веегора	Veegora dialect	Говор д. Веегора	https://lingconlab.ru/veegora/	corpus	корпус	dialectal	диалектный	Veegora	Веегора	64.288509	44.326406	Russian	91514	spoco	
Corpus of the Russian dialect spoken in the villages of the Don river	Корпус донских говоров	Don river dialects	Донские говоры	https://lingconlab.ru/don_rnd/	corpus	корпус	dialectal	диалектный	Razdorskaya	Раздорская	47.53933391	40.64226054	Russian	69098	spoco	
Corpus of the Russian dialect spoken in the villages of the Don river	Корпус донских говоров	Don river dialects	Донские говоры	https://lingconlab.ru/don_rnd/	corpus	корпус	dialectal	диалектный	Melikhovskaya	Мелиховская	47.48119837	40.47855162	Russian	69098	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Northern Dvina	Корпус говоров среднего течения Северной Двины	Middle Northern Dvina dialects	Говоры среднего течения Северной Двины	https://lingconlab.ru/dvina/	corpus	корпус	dialectal	диалектный	Seltso	Сельцо	62.484937	43.776278	Russian	68010	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Northern Dvina	Корпус говоров среднего течения Северной Двины	Middle Northern Dvina dialects	Говоры среднего течения Северной Двины	https://lingconlab.ru/dvina/	corpus	корпус	dialectal	диалектный	Timoshino	Тимошино	62.012085	45.213367	Russian	68010	spoco	
Corpus of the Russian dialect spoken in the villages of the Middle Pinega	Корпус говоров Средней Пинеги	Middle Pinega dialects 	Говоры  среднего течения Пинеги 	https://lingconlab.ru/pinega/	corpus	корпус	dialectal	диалектный	Nyukhcha	Нюхча	63.442014	46.525869	Russian	43270	spoco	
